words,sentences
"1998,లో,కామెరాన్,బ్యాక్‌లాష్‌పై,స్పందించాడు,మరియు,ముఖ్యంగా,కెన్నెత్,టురాన్స్,రివ్యూ,టైటానిక్,రాయడం,ద్వారా,రివ్యూ,అనేది,ఒక,చిత్రం,కాదు,,ఇది,ప్రజలను,మెరిసే,హైప్‌తో,పీల్చుకుంటుంది,మరియు,వీధిలో,వారిని,ఉమ్మివేసి,,విడదీసింది","1998 లో కామెరాన్ బ్యాక్‌లాష్‌పై స్పందించాడు మరియు ముఖ్యంగా కెన్నెత్ టురాన్స్ రివ్యూ టైటానిక్ రాయడం ద్వారా రివ్యూ అనేది ఒక చిత్రం కాదు, ఇది ప్రజలను మెరిసే హైప్‌తో పీల్చుకుంటుంది మరియు వీధిలో వారిని ఉమ్మివేసి, విడదీసింది"
"వారు,3,గంటల,14,నిమిషాల,భాగాన్ని,తీసుకునే,అనుభవాన్ని,పునరావృతం,చేయడానికి,వారు,మళ్లీ,మళ్లీ,తిరిగి,వస్తున్నారు,,వారి,జీవితాల,నుండి,ఇతరులను,లాగడం,వల్ల,వారు,భావోద్వేగాన్ని,పంచుకోవచ్చు","వారు 3 గంటల 14 నిమిషాల భాగాన్ని తీసుకునే అనుభవాన్ని పునరావృతం చేయడానికి వారు మళ్లీ మళ్లీ తిరిగి వస్తున్నారు, వారి జీవితాల నుండి ఇతరులను లాగడం వల్ల వారు భావోద్వేగాన్ని పంచుకోవచ్చు"
"కామెరాన్,అన్ని,వయసుల,వారు,8,నుండి,80,వరకు,మరియు,అన్ని,నేపథ్యాల,నుండి,ప్రజలు,తమ,సొంత,ముఖ్యమైన,మానవత్వాన్ని,చూడటం,ద్వారా,జరుపుకుంటున్నారని,నొక్కి,చెప్పారు",కామెరాన్ అన్ని వయసుల వారు 8 నుండి 80 వరకు మరియు అన్ని నేపథ్యాల నుండి ప్రజలు తమ సొంత ముఖ్యమైన మానవత్వాన్ని చూడటం ద్వారా జరుపుకుంటున్నారని నొక్కి చెప్పారు
"అతను,స్క్రిప్ట్‌ను,ఆసక్తిగా,మరియు,సూటిగా,అభివర్ణించాడు,మరియు,ఇది,ఉద్దేశపూర్వకంగా,మానవ,అనుభవం,మరియు,భావోద్వేగాల,యొక్క,విశ్వాలను,కలిగి,ఉంటుంది,,ఎందుకంటే,అవి,కలకాలం,మరియు,సుపరిచితమైనవి,,ఎందుకంటే,అవి,మన,ప్రాథమిక,భావోద్వేగ,బట్టను,ప్రతిబింబిస్తాయి,మరియు,ఈ,చిత్రం,ఆర్కిటైప్‌లతో,వ్యవహరించడం,ద్వారా,ఈ,విధంగా,విజయం,సాధించగలదు.","అతను స్క్రిప్ట్‌ను ఆసక్తిగా మరియు సూటిగా అభివర్ణించాడు మరియు ఇది ఉద్దేశపూర్వకంగా మానవ అనుభవం మరియు భావోద్వేగాల యొక్క విశ్వాలను కలిగి ఉంటుంది, ఎందుకంటే అవి కలకాలం మరియు సుపరిచితమైనవి, ఎందుకంటే అవి మన ప్రాథమిక భావోద్వేగ బట్టను ప్రతిబింబిస్తాయి మరియు ఈ చిత్రం ఆర్కిటైప్‌లతో వ్యవహరించడం ద్వారా ఈ విధంగా విజయం సాధించగలదు."
"అతను,దానిని,పాండరింగ్,గా,చూడలేదు",అతను దానిని పాండరింగ్ గా చూడలేదు
"తురాన్,తప్పులు,క్లిచ్,కోసం,ఆర్కిటైప్",తురాన్ తప్పులు క్లిచ్ కోసం ఆర్కిటైప్
"ఉత్తమ,స్క్రిప్ట్‌లు,మానవ,అనుభవం,యొక్క,చుట్టుకొలతను,అన్వేషించేవి,లేదా,మా,ప్రశంసల,కోసం,వారి,చమత్కారమైన,మరియు,విరక్త,సంభాషణలను,మెరుస్తున్నాయి,అని,నేను,అతని,అభిప్రాయాన్ని,పంచుకోను.",ఉత్తమ స్క్రిప్ట్‌లు మానవ అనుభవం యొక్క చుట్టుకొలతను అన్వేషించేవి లేదా మా ప్రశంసల కోసం వారి చమత్కారమైన మరియు విరక్త సంభాషణలను మెరుస్తున్నాయి అని నేను అతని అభిప్రాయాన్ని పంచుకోను.
"2000,లో,,BBC,యొక్క,అల్మార్,హఫ్లిడాసన్,జేమ్స్,కామెరాన్స్,టైటానిక్,పూర్తి,కావడానికి,చాలా,కాలం,ముందు,క్లిష్టమైన,కత్తులు,బయటపడ్డాయి","2000 లో, BBC యొక్క అల్మార్ హఫ్లిడాసన్ జేమ్స్ కామెరాన్స్ టైటానిక్ పూర్తి కావడానికి చాలా కాలం ముందు క్లిష్టమైన కత్తులు బయటపడ్డాయి"
"స్పైరలింగ్,ఖర్చులు,20,వ,శతాబ్దం,యొక్క,అత్యంత,ఖరీదైన,చలన,చిత్రంగా,మారడానికి,దారితీశాయి,మరియు,ఎటువంటి,పెద్ద,నక్షత్రాలు,లేని,తారాగణం,విడుదలకు,ముందు,ఈ,చిత్రాన్ని,ప్రారంభించినట్లు,అనిపించింది",స్పైరలింగ్ ఖర్చులు 20 వ శతాబ్దం యొక్క అత్యంత ఖరీదైన చలన చిత్రంగా మారడానికి దారితీశాయి మరియు ఎటువంటి పెద్ద నక్షత్రాలు లేని తారాగణం విడుదలకు ముందు ఈ చిత్రాన్ని ప్రారంభించినట్లు అనిపించింది
"కానీ,బాక్స్,ఆఫీస్,మరియు,ప్రేక్షకుల,ప్రశంసలు,కామెరాన్,సరైనవి,మరియు,చాలా,మంది,విమర్శకులు,తప్పుగా,నిరూపించబడ్డాయి",కానీ బాక్స్ ఆఫీస్ మరియు ప్రేక్షకుల ప్రశంసలు కామెరాన్ సరైనవి మరియు చాలా మంది విమర్శకులు తప్పుగా నిరూపించబడ్డాయి
"గ్రేట్,షిప్,మునిగిపోవడం,చాలా,రహస్యం,కాదని,,చాలా,మందికి,మించిపోయింది,,పరిపూర్ణ,స్కేల్,మరియు,విషాదంలో,చాలా,అంచనాలు,ఉన్నాయి,మరియు,ఈ,చిత్రం,బైనంబింగ్,త్రీహౌర్,నడుస్తున్న,సమయానికి,అగ్రస్థానంలో,ఉందని,మీరు,పరిగణించినప్పుడు,,మీరు,కామెరాన్,సాధించిన,వినోదం,యొక్క,నిజంగా,అద్భుతమైన,ఫీట్,కలిగి,ఉన్నారు","గ్రేట్ షిప్ మునిగిపోవడం చాలా రహస్యం కాదని, చాలా మందికి మించిపోయింది, పరిపూర్ణ స్కేల్ మరియు విషాదంలో చాలా అంచనాలు ఉన్నాయి మరియు ఈ చిత్రం బైనంబింగ్ త్రీహౌర్ నడుస్తున్న సమయానికి అగ్రస్థానంలో ఉందని మీరు పరిగణించినప్పుడు, మీరు కామెరాన్ సాధించిన వినోదం యొక్క నిజంగా అద్భుతమైన ఫీట్ కలిగి ఉన్నారు"
"సామ్రాజ్యం,చివరికి,దాని,అసలు,ఫైవెస్టార్,రేటింగ్‌ను,వ్యాఖ్యానించింది,,అప్పుడు,ఆశ్చర్యపోనవసరం,లేదు,,అప్పుడు,ఆశ్చర్యపోనవసరం,లేదు,,అప్పుడు,జేమ్స్,కామెరాన్స్,టైటానిక్‌ను,బాష్,చేయడం,ఫ్యాషన్‌గా,మారింది,,అదే,సమయంలో,ఇది,గ్రహాల,అభిమాన,చిత్రం,అని,స్పష్టమైంది","సామ్రాజ్యం చివరికి దాని అసలు ఫైవెస్టార్ రేటింగ్‌ను వ్యాఖ్యానించింది, అప్పుడు ఆశ్చర్యపోనవసరం లేదు, అప్పుడు ఆశ్చర్యపోనవసరం లేదు, అప్పుడు జేమ్స్ కామెరాన్స్ టైటానిక్‌ను బాష్ చేయడం ఫ్యాషన్‌గా మారింది, అదే సమయంలో ఇది గ్రహాల అభిమాన చిత్రం అని స్పష్టమైంది"
ఎప్పుడూ,ఎప్పుడూ
"క్లైమాక్స్,చిత్రాలు,జాక్,మరియు,రోజ్,ఇద్దరూ,తేలియాడే,తలుపు,మీద,సరిపోయేలా,చేసి,,సినిమా,యొక్క,అంశాల,గురించి,ఎక్కువగా,మాట్లాడే,వాటిలో,మనుగడ,సాగించాలా,అనే,దానిపై,చాలా,సంవత్సరాలుగా,చర్చలు,జరిగాయి","క్లైమాక్స్ చిత్రాలు జాక్ మరియు రోజ్ ఇద్దరూ తేలియాడే తలుపు మీద సరిపోయేలా చేసి, సినిమా యొక్క అంశాల గురించి ఎక్కువగా మాట్లాడే వాటిలో మనుగడ సాగించాలా అనే దానిపై చాలా సంవత్సరాలుగా చర్చలు జరిగాయి"
"కామెరాన్,అతను,ఈ,సన్నివేశం,గురించి,తరచూ,అడుగుతున్నాడని,మరియు,దాని,గురించి,మాట్లాడి,,అనేక,సార్లు,పరీక్షించాడని,,ఒక,ప్రారంభ,పరీక్షలో,వారు,25,వ,వార్షికోత్సవం,చిత్రాలకు,ముందుగానే,మరొకరు,ఉండలేరని,చెప్పారు,,ఇది,సాధ్యమేనని,,కానీ,అనేక,వేరియబుల్స్‌పై,ఆధారపడి,ఉందని,చెప్పారు.","కామెరాన్ అతను ఈ సన్నివేశం గురించి తరచూ అడుగుతున్నాడని మరియు దాని గురించి మాట్లాడి, అనేక సార్లు పరీక్షించాడని, ఒక ప్రారంభ పరీక్షలో వారు 25 వ వార్షికోత్సవం చిత్రాలకు ముందుగానే మరొకరు ఉండలేరని చెప్పారు, ఇది సాధ్యమేనని, కానీ అనేక వేరియబుల్స్‌పై ఆధారపడి ఉందని చెప్పారు."
"2017,లో,విడుదలైన,20,వ,వార్షికోత్సవం,సందర్భంగా,ఈ,చిత్రం,యునైటెడ్,స్టేట్స్,నేషనల్,ఫిల్మ్,రిజిస్ట్రీలో,లైబ్రరీ,ఆఫ్,కాంగ్రెస్,చేత,సంరక్షణ,కోసం,ఎంపిక,చేయబడింది",2017 లో విడుదలైన 20 వ వార్షికోత్సవం సందర్భంగా ఈ చిత్రం యునైటెడ్ స్టేట్స్ నేషనల్ ఫిల్మ్ రిజిస్ట్రీలో లైబ్రరీ ఆఫ్ కాంగ్రెస్ చేత సంరక్షణ కోసం ఎంపిక చేయబడింది
"ఇది,ఎంపైర్,పోల్‌లో,మరియు,తరువాత,చిత్ర,పరిశ్రమ,సభ్యుల,పోల్‌లో,100,ఉత్తమ,చిత్రాలలో,జాబితా,చేయబడింది",ఇది ఎంపైర్ పోల్‌లో మరియు తరువాత చిత్ర పరిశ్రమ సభ్యుల పోల్‌లో 100 ఉత్తమ చిత్రాలలో జాబితా చేయబడింది
"2021,లో,,ఫిల్మ్‌కు,చెందిన,డాలిన్,రోవెల్,కామెరాన్స్,కెరీర్,యొక్క,మూడవ,స్థానంలో,నిలిచింది,,ఇది,అతని,ఉత్తమ,చిత్రాలలో,ఒకటి,అని,పేర్కొంది,,ఎందుకంటే,ఇది,అసమానతలను,ధిక్కరించింది,మరియు,ఇది,పెద్ద,బడ్జెట్‌కు,వినయపూర్వకమైన,ఉత్సాహపూరితమైన,కేంద్రం,ఉన్నప్పటికీ,చట్టబద్ధంగా,గొప్ప,సాధించిన,విజయాన్ని,పరిగణనలోకి,తీసుకుంది.","2021 లో, ఫిల్మ్‌కు చెందిన డాలిన్ రోవెల్ కామెరాన్స్ కెరీర్ యొక్క మూడవ స్థానంలో నిలిచింది, ఇది అతని ఉత్తమ చిత్రాలలో ఒకటి అని పేర్కొంది, ఎందుకంటే ఇది అసమానతలను ధిక్కరించింది మరియు ఇది పెద్ద బడ్జెట్‌కు వినయపూర్వకమైన ఉత్సాహపూరితమైన కేంద్రం ఉన్నప్పటికీ చట్టబద్ధంగా గొప్ప సాధించిన విజయాన్ని పరిగణనలోకి తీసుకుంది."
"అన్ని,జోకులతో,కూడా,ఇంటర్నెట్,తన,మార్గాన్ని,విసిరేయడానికి,ఇష్టపడుతుంది,టైటానిక్,కామెరాన్,అతను,can,హించే,ప్రతిదానికీ,నిజంగా,సామర్థ్యాన్ని,కలిగి,ఉందని,నిరూపిస్తుంది",అన్ని జోకులతో కూడా ఇంటర్నెట్ తన మార్గాన్ని విసిరేయడానికి ఇష్టపడుతుంది టైటానిక్ కామెరాన్ అతను can హించే ప్రతిదానికీ నిజంగా సామర్థ్యాన్ని కలిగి ఉందని నిరూపిస్తుంది
"ప్రశంసలు,గోల్డెన్,గ్లోబ్స్,వద్ద,టైటానిక్,బెస్ట్,మోషన్,పిక్చర్,డ్రామా,బెస్ట్,డైరెక్టర్,బెస్ట్,ఒరిజినల్,స్కోరు,మరియు,ఉత్తమ,అసలు,పాటను,గెలుచుకుంది","ప్రశంసలు
గోల్డెన్ గ్లోబ్స్ వద్ద టైటానిక్ బెస్ట్ మోషన్ పిక్చర్ డ్రామా బెస్ట్ డైరెక్టర్ బెస్ట్ ఒరిజినల్ స్కోరు మరియు ఉత్తమ అసలు పాటను గెలుచుకుంది"
"విన్స్లెట్,మరియు,స్టువర్ట్,కూడా,నామినేట్,చేయబడ్డాయి",విన్స్లెట్ మరియు స్టువర్ట్ కూడా నామినేట్ చేయబడ్డాయి
"ఈ,చిత్రం,పద్నాలుగు,అకాడమీ,అవార్డు,నామినేషన్లను,1950,లో,జోసెఫ్,ఎల్,చేత,సంపాదించింది",ఈ చిత్రం పద్నాలుగు అకాడమీ అవార్డు నామినేషన్లను 1950 లో జోసెఫ్ ఎల్ చేత సంపాదించింది
"మాన్‌కీవిక్స్,ఈవ్,గురించి,మరియు,ఎలెవెన్,బెస్ట్,పిక్చర్,ది,టైటానిక్,గురించి,రెండవ,చిత్రం,1933,ల,తరువాత,ఆ,అవార్డును,గెలుచుకుంది.ఎఫెక్ట్స్,బెస్ట్,ఒరిజినల్,డ్రామాటిక్,స్కోరు,ఉత్తమ,అసలు,పాటను,సవరించడం",మాన్‌కీవిక్స్ ఈవ్ గురించి మరియు ఎలెవెన్ బెస్ట్ పిక్చర్ ది టైటానిక్ గురించి రెండవ చిత్రం 1933 ల తరువాత ఆ అవార్డును గెలుచుకుంది.ఎఫెక్ట్స్ బెస్ట్ ఒరిజినల్ డ్రామాటిక్ స్కోరు ఉత్తమ అసలు పాటను సవరించడం
"విన్స్లెట్,స్టువర్ట్,మరియు,మేకప్,ఆర్టిస్టులు,నామినేట్,చేయబడ్డారు,,కాని,హెలెన్,హంట్,చేతిలో,ఓడిపోయారు,,అది,కిమ్,బాసింగర్,ఎల్,లో,వచ్చినంత,మంచిది","విన్స్లెట్ స్టువర్ట్ మరియు మేకప్ ఆర్టిస్టులు నామినేట్ చేయబడ్డారు, కాని హెలెన్ హంట్ చేతిలో ఓడిపోయారు, అది కిమ్ బాసింగర్ ఎల్ లో వచ్చినంత మంచిది"
ఎ,ఎ
"కాన్ఫిడెన్షియల్,అండ్,మెన్,ఇన్,బ్లాక్",కాన్ఫిడెన్షియల్ అండ్ మెన్ ఇన్ బ్లాక్
"బెన్హూర్,1959,తరువాత,పదకొండు,అకాడమీ,అవార్డులను,అందుకున్న,రెండవ,చిత్రం,టైటానిక్",బెన్హూర్ 1959 తరువాత పదకొండు అకాడమీ అవార్డులను అందుకున్న రెండవ చిత్రం టైటానిక్
"లార్డ్,ఆఫ్,ది,రింగ్స్,ది,రిటర్న్,ఆఫ్,ది,కింగ్,2004,లో,రికార్డుతో,సరిపోలింది",లార్డ్ ఆఫ్ ది రింగ్స్ ది రిటర్న్ ఆఫ్ ది కింగ్ 2004 లో రికార్డుతో సరిపోలింది
"టైటానిక్,1997,అకాడమీ,అవార్డుతో,పాటు,ఉత్తమ,ఒరిజినల్,సాంగ్,కోసం,నాలుగు,గ్రామీ,అవార్డులను,గెలుచుకుంది,,రికార్డ్,ఆఫ్,ది,ఇయర్,సాంగ్,ఆఫ్,ది,ఇయర్,ఉత్తమ,పాట,కోసం,మోషన్,పిక్చర్,లేదా,టెలివిజన్,మరియు,ఉత్తమ,మహిళా,పాప్,స్వర,ప్రదర్శన,కోసం,ప్రత్యేకంగా,వ్రాయబడింది","టైటానిక్ 1997 అకాడమీ అవార్డుతో పాటు ఉత్తమ ఒరిజినల్ సాంగ్ కోసం నాలుగు గ్రామీ అవార్డులను గెలుచుకుంది, రికార్డ్ ఆఫ్ ది ఇయర్ సాంగ్ ఆఫ్ ది ఇయర్ ఉత్తమ పాట కోసం మోషన్ పిక్చర్ లేదా టెలివిజన్ మరియు ఉత్తమ మహిళా పాప్ స్వర ప్రదర్శన కోసం ప్రత్యేకంగా వ్రాయబడింది"
"సౌండ్‌ట్రాక్,యునైటెడ్,స్టేట్స్‌లో,నంబోన్‌లో,పదహారు,వారాలు,గడిపిన,ప్రధానంగా,ఎప్పటికప్పుడు,ఆర్కెస్ట్రా,సౌండ్‌ట్రాక్‌గా,మారింది,మరియు,యునైటెడ్,స్టేట్స్లో,మాత్రమే,విక్రయించిన,పదకొండు,మిలియన్,కాపీలకు,డైమండ్,ధృవీకరించబడింది",సౌండ్‌ట్రాక్ యునైటెడ్ స్టేట్స్‌లో నంబోన్‌లో పదహారు వారాలు గడిపిన ప్రధానంగా ఎప్పటికప్పుడు ఆర్కెస్ట్రా సౌండ్‌ట్రాక్‌గా మారింది మరియు యునైటెడ్ స్టేట్స్లో మాత్రమే విక్రయించిన పదకొండు మిలియన్ కాపీలకు డైమండ్ ధృవీకరించబడింది
"ఇది,యుఎస్,లో,1998,లో,అమ్ముడుపోయే,ఆల్బమ్,కూడా",ఇది యుఎస్ లో 1998 లో అమ్ముడుపోయే ఆల్బమ్ కూడా
"నా,హృదయం,మోషన్,పిక్చర్,లేదా,టెలివిజన్,కోసం,ప్రత్యేకంగా,వ్రాసిన,ఉత్తమ,పాట,కోసం,గ్రామీ,అవార్డులను,గెలుచుకుంటుంది",నా హృదయం మోషన్ పిక్చర్ లేదా టెలివిజన్ కోసం ప్రత్యేకంగా వ్రాసిన ఉత్తమ పాట కోసం గ్రామీ అవార్డులను గెలుచుకుంటుంది
"టైటానిక్,యునైటెడ్,స్టేట్స్,వెలుపల,వివిధ,అవార్డులను,గెలుచుకుంది,,జపనీస్,అకాడమీ,అవార్డులతో,సహా,సంవత్సరపు,ఉత్తమ,విదేశీ,చిత్రంగా","టైటానిక్ యునైటెడ్ స్టేట్స్ వెలుపల వివిధ అవార్డులను గెలుచుకుంది, జపనీస్ అకాడమీ అవార్డులతో సహా సంవత్సరపు ఉత్తమ విదేశీ చిత్రంగా"
"ఇది,చివరికి,దాదాపు,తొంభై,అవార్డులను,గెలుచుకుంది,మరియు,ప్రపంచవ్యాప్తంగా,వివిధ,అవార్డు,ఇచ్చే,సంస్థల,నుండి,అదనపు,నలభై,ఏడు,నామినేషన్లను,కలిగి,ఉంది",ఇది చివరికి దాదాపు తొంభై అవార్డులను గెలుచుకుంది మరియు ప్రపంచవ్యాప్తంగా వివిధ అవార్డు ఇచ్చే సంస్థల నుండి అదనపు నలభై ఏడు నామినేషన్లను కలిగి ఉంది
"ఈ,చిత్రం,తయారీ,గురించి,పుస్తకం,న్యూయార్క్,టైమ్స్,బెస్ట్,సెల్లర్,జాబితాలో,చాలా,వారాలు,అగ్రస్థానంలో,ఉంది,మొదటిసారి,పుస్తకంలో,అలాంటి,టై,ఈ,స్థితిని,సాధించింది",ఈ చిత్రం తయారీ గురించి పుస్తకం న్యూయార్క్ టైమ్స్ బెస్ట్ సెల్లర్ జాబితాలో చాలా వారాలు అగ్రస్థానంలో ఉంది మొదటిసారి పుస్తకంలో అలాంటి టై ఈ స్థితిని సాధించింది
"అమెరికన్,ఫిల్మ్,ఇన్స్టిట్యూట్,అవార్డులో,టైటానిక్,100,సంవత్సరాలు,గెలిచింది",అమెరికన్ ఫిల్మ్ ఇన్స్టిట్యూట్ అవార్డులో టైటానిక్ 100 సంవత్సరాలు గెలిచింది
"సిరీస్,ఆరు,సార్లు",సిరీస్ ఆరు సార్లు
"హోమ్,మీడియా,టైటానిక్,ప్రపంచవ్యాప్తంగా,వైడ్,స్క్రీన్,మరియు,పాన్,మరియు,స్కాన్,ఫార్మాట్లలో,VHS,లో,సెప్టెంబర్,1,,1998,న,విడుదలైంది","హోమ్ మీడియా
టైటానిక్ ప్రపంచవ్యాప్తంగా వైడ్ స్క్రీన్ మరియు పాన్ మరియు స్కాన్ ఫార్మాట్లలో VHS లో సెప్టెంబర్ 1, 1998 న విడుదలైంది"
"ఈ,చిత్రం,యొక్క,హోమ్,వీడియో,విడుదలను,మార్కెట్,చేయడానికి,50,మిలియన్లకు,పైగా,ఖర్చు,చేశారు",ఈ చిత్రం యొక్క హోమ్ వీడియో విడుదలను మార్కెట్ చేయడానికి 50 మిలియన్లకు పైగా ఖర్చు చేశారు
"రెండు,VHS,ఫార్మాట్‌లు,డీలక్స్,బాక్స్డ్,గిఫ్ట్,సెట్‌లో,మౌంటెడ్,ఫిల్మ్‌స్ట్రిప్,మరియు,సినిమా,నుండి,ఆరు,లితోగ్రాఫ్,ప్రింట్లతో,అందుబాటులో,ఉంచబడ్డాయి",రెండు VHS ఫార్మాట్‌లు డీలక్స్ బాక్స్డ్ గిఫ్ట్ సెట్‌లో మౌంటెడ్ ఫిల్మ్‌స్ట్రిప్ మరియు సినిమా నుండి ఆరు లితోగ్రాఫ్ ప్రింట్లతో అందుబాటులో ఉంచబడ్డాయి
"మొదటి,3,నెలల్లో,ఈ,చిత్రం,ఉత్తర,అమెరికాలో,25,మిలియన్,కాపీలు,అమ్ముడైంది,,మొత్తం,అమ్మకపు,విలువ,500,మిలియన్లు,స్వాతంత్ర్య,దినోత్సవాన్ని,ఓడించే,అత్యధికంగా,అమ్ముడైన,లైవల్,వీడియోగా,నిలిచింది","మొదటి 3 నెలల్లో ఈ చిత్రం ఉత్తర అమెరికాలో 25 మిలియన్ కాపీలు అమ్ముడైంది, మొత్తం అమ్మకపు విలువ 500 మిలియన్లు స్వాతంత్ర్య దినోత్సవాన్ని ఓడించే అత్యధికంగా అమ్ముడైన లైవల్ వీడియోగా నిలిచింది"
"ఆ,సమయంలో,ఇది,ప్రపంచవ్యాప్తంగా,58,మిలియన్,కాపీలను,విక్రయించింది,,ప్రపంచవ్యాప్తంగా,మొత్తం,ప్రపంచవ్యాప్తంగా,995,మిలియన్లకు,లయన్,రాజును,మించిపోయింది","ఆ సమయంలో ఇది ప్రపంచవ్యాప్తంగా 58 మిలియన్ కాపీలను విక్రయించింది, ప్రపంచవ్యాప్తంగా మొత్తం ప్రపంచవ్యాప్తంగా 995 మిలియన్లకు లయన్ రాజును మించిపోయింది"
"మార్చి,2005,నాటికి,ఈ,చిత్రం,8,మిలియన్,డివిడి,మరియు,59,మిలియన్,VHS,యూనిట్లను,విక్రయించింది",మార్చి 2005 నాటికి ఈ చిత్రం 8 మిలియన్ డివిడి మరియు 59 మిలియన్ VHS యూనిట్లను విక్రయించింది
"యునైటెడ్,కింగ్‌డమ్‌లో,ఈ,చిత్రం,1,అమ్ముడైంది",యునైటెడ్ కింగ్‌డమ్‌లో ఈ చిత్రం 1 అమ్ముడైంది
"విడుదలైన,మొదటి,రోజున,1,మిలియన్,కాపీలు,దేశంలోనే,వేగంగా,అమ్ముడైన,హోమ్,వీడియో,విడుదలగా,నిలిచాయి",విడుదలైన మొదటి రోజున 1 మిలియన్ కాపీలు దేశంలోనే వేగంగా అమ్ముడైన హోమ్ వీడియో విడుదలగా నిలిచాయి
"మే,2002,లో,హ్యారీ,పాటర్,మరియు,ది,సోర్సెరర్స్,స్టోన్,అధిగమించే,వరకు,ఇది,ఈ,రికార్డును,కలిగి,ఉంటుంది.,ఆ,చిత్రం,1,అమ్మినప్పుడు",మే 2002 లో హ్యారీ పాటర్ మరియు ది సోర్సెరర్స్ స్టోన్ అధిగమించే వరకు ఇది ఈ రికార్డును కలిగి ఉంటుంది. ఆ చిత్రం 1 అమ్మినప్పుడు
"మొదటి,రోజులో,2,మిలియన్,హోమ్,వీడియో,యూనిట్లు",మొదటి రోజులో 2 మిలియన్ హోమ్ వీడియో యూనిట్లు
"విడుదలైన,మొదటి,వారంలోనే,టైటానిక్,మొత్తం,1,అమ్మిన,పూర్తి,మాంటీని,త్వరగా,ఓడించింది",విడుదలైన మొదటి వారంలోనే టైటానిక్ మొత్తం 1 అమ్మిన పూర్తి మాంటీని త్వరగా ఓడించింది
"8,మిలియన్,హోమ్,వీడియో,కాపీలు",8 మిలియన్ హోమ్ వీడియో కాపీలు
"ఎన్బిసి,యుఎస్,టెలివిజన్,ప్రసార,హక్కులను,30,మిలియన్లకు,కొనుగోలు,చేసింది,,ఇది,బేరం,గా,పరిగణించబడింది","ఎన్బిసి యుఎస్ టెలివిజన్ ప్రసార హక్కులను 30 మిలియన్లకు కొనుగోలు చేసింది, ఇది బేరం గా పరిగణించబడింది"
"ఒక,DVD,వెర్షన్,ఆగస్టు,31,,1999,న,వైడ్,స్క్రీనన్లీ,నాన్‌అనామార్ఫిక్,సింగిల్డిస్క్,ఎడిషన్‌లో,విడుదలైంది,,థియేట్రికల్,ట్రైలర్,తప్ప,వేరే,లక్షణాలు,లేవు","ఒక DVD వెర్షన్ ఆగస్టు 31, 1999 న వైడ్ స్క్రీనన్లీ నాన్‌అనామార్ఫిక్ సింగిల్డిస్క్ ఎడిషన్‌లో విడుదలైంది, థియేట్రికల్ ట్రైలర్ తప్ప వేరే లక్షణాలు లేవు"
"కామెరాన్,ఆ,సమయంలో,అదనపు,లక్షణాలతో,ప్రత్యేక,ఎడిషన్‌ను,విడుదల,చేయాలని,అనుకున్నాడు",కామెరాన్ ఆ సమయంలో అదనపు లక్షణాలతో ప్రత్యేక ఎడిషన్‌ను విడుదల చేయాలని అనుకున్నాడు
"ఈ,విడుదల,1999,యొక్క,అత్యధికంగా,అమ్ముడైన,DVD,గా,మారింది,మరియు,2000,ప్రారంభంలో,ఒక,మిలియన్,కాపీలు,విక్రయించిన,మొట్టమొదటి,DVD,గా,మారింది",ఈ విడుదల 1999 యొక్క అత్యధికంగా అమ్ముడైన DVD గా మారింది మరియు 2000 ప్రారంభంలో ఒక మిలియన్ కాపీలు విక్రయించిన మొట్టమొదటి DVD గా మారింది
"ఆ,సమయంలో,అన్ని,యులలో,5,కన్నా,తక్కువ",ఆ సమయంలో అన్ని యులలో 5 కన్నా తక్కువ
"గృహాలకు,DVD,ప్లేయర్,ఉంది",గృహాలకు DVD ప్లేయర్ ఉంది
"మేము,అసలు,టైటానిక్,DVD,ని,విడుదల,చేసినప్పుడు,పరిశ్రమ,చాలా,చిన్నది,మరియు,బోనస్,లక్షణాలు,ప్రమాణంగా,లేవు,,ఇప్పుడు,వారు,మీగన్,బర్రోస్,పారామౌంట్స్,దేశీయ,గృహ,వినోదం,అధ్యక్షుడు,,ఇది,చలనచిత్రాలు,DVD,పనితీరును,మరింత,ఆకట్టుకుంది","మేము అసలు టైటానిక్ DVD ని విడుదల చేసినప్పుడు పరిశ్రమ చాలా చిన్నది మరియు బోనస్ లక్షణాలు ప్రమాణంగా లేవు, ఇప్పుడు వారు మీగన్ బర్రోస్ పారామౌంట్స్ దేశీయ గృహ వినోదం అధ్యక్షుడు, ఇది చలనచిత్రాలు DVD పనితీరును మరింత ఆకట్టుకుంది"
"యునైటెడ్,స్టేట్స్,మరియు,కెనడాలో,త్రీడిస్క్,స్పెషల్,కలెక్టర్స్,ఎడిషన్,అందుబాటులో,ఉంచినప్పుడు,టైటానిక్,అక్టోబర్,25,,2005,న,డివిడికి,విడుదల,చేయబడింది","యునైటెడ్ స్టేట్స్ మరియు కెనడాలో త్రీడిస్క్ స్పెషల్ కలెక్టర్స్ ఎడిషన్ అందుబాటులో ఉంచినప్పుడు టైటానిక్ అక్టోబర్ 25, 2005 న డివిడికి విడుదల చేయబడింది"
"ఈ,ఎడిషన్‌లో,6,ఈ,చిత్రం,యొక్క,కొత్తగా,పునరుద్ధరించబడిన,బదిలీ,ఉంది",ఈ ఎడిషన్‌లో 6 ఈ చిత్రం యొక్క కొత్తగా పునరుద్ధరించబడిన బదిలీ ఉంది
